"species","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","pangenome","indelrates"
"mtuber",0.45344,3631,167,444,524,4766,5.826683
"mtuber",0.54914,3670,155,382,474,4681,5.656319
"mtuber",0.47429,3737,103,352,372,4564,6.895471
"mtuber",0.59069,3642,146,460,575,4823,5.910892
"mtuber",0.47607,3656,160,409,503,4728,6.210539
"mtuber",0.7229,3583,208,452,576,4819,4.203985
"mtuber",0.76826,3556,201,514,549,4820,3.899027
"mtuber",0.60181,3599,186,450,571,4806,5.924845
"mtuber",0.65461,3661,134,424,389,4608,4.574196
"mtuber",0.5974,3641,175,398,508,4722,6.194472
"mtuber",0.62601,3629,184,416,470,4699,4.726662
"mtuber",0.60875,3664,158,400,480,4702,4.761419
"mtuber",0.67921,3607,198,444,604,4853,5.196105
"mtuber",0.65337,3615,184,449,523,4771,5.067761
"mtuber",0.57426,3627,181,427,574,4809,6.740233
"mtuber",0.65889,3651,159,428,533,4771,4.810806
"mtuber",0.68612,3631,169,432,423,4655,4.694488
"mtuber",0.60488,3649,164,384,419,4616,5.064862
"mtuber",0.69936,3628,164,482,621,4895,4.314025
"mtuber",0.5596,3680,136,390,453,4659,6.826142
"mtuber",0.62476,3648,157,433,499,4737,4.962647
"mtuber",0.63765,3633,168,415,491,4707,4.875082
"mtuber",0.37787,3694,132,390,379,4595,8.336807
"mtuber",0.6057,3645,166,401,499,4711,5.278123
"mtuber",0.57845,3673,153,388,370,4584,6.859439
"mtuber",0.54539,3703,137,338,414,4592,6.688802
"mtuber",0.44929,3684,145,398,426,4653,7.578868
"mtuber",0.52672,3666,147,418,529,4760,5.798182
"mtuber",0.61717,3689,128,402,508,4727,4.584443
"mtuber",0.46499,3684,137,388,415,4624,6.186354
"mtuber",0.68788,3679,131,430,407,4647,4.744414
"mtuber",0.64292,3588,198,460,574,4820,5.154908
"mtuber",0.58595,3659,151,409,422,4641,4.968638
"mtuber",0.45268,3693,147,374,412,4626,6.69653
"mtuber",0.61493,3640,177,393,403,4613,4.888823
"mtuber",0.52017,3675,169,370,474,4688,7.758933
"mtuber",0.62083,3626,164,453,593,4836,6.426658
"mtuber",0.55573,3670,165,377,436,4648,6.254242
"mtuber",0.49871,3643,160,385,450,4638,5.957001
"mtuber",0.62963,3620,167,462,526,4775,5.43437
"mtuber",0.63331,3653,154,414,482,4703,6.056527
